"DT_GRANDE_PREMIO","ano","mes","dia"
"1950-05-13","1950","05","13"
"1950-05-21","1950","05","21"
"1950-05-30","1950","05","30"
"1950-06-04","1950","06","04"
"1950-06-18","1950","06","18"
"1950-07-02","1950","07","02"
"1950-09-03","1950","09","03"
"1951-05-27","1951","05","27"
"1951-05-30","1951","05","30"
"1951-06-17","1951","06","17"
"1951-07-01","1951","07","01"
"1951-07-14","1951","07","14"
"1951-07-29","1951","07","29"
"1951-09-16","1951","09","16"
"1951-10-28","1951","10","28"
"1952-05-18","1952","05","18"
"1952-05-30","1952","05","30"
"1952-06-22","1952","06","22"
"1952-07-06","1952","07","06"
"1952-07-19","1952","07","19"
"1952-08-03","1952","08","03"
"1952-08-17","1952","08","17"
"1952-09-07","1952","09","07"
"1953-01-18","1953","01","18"
"1953-05-30","1953","05","30"
"1953-06-07","1953","06","07"
"1953-06-21","1953","06","21"
"1953-07-05","1953","07","05"
"1953-07-18","1953","07","18"
"1953-08-02","1953","08","02"
"1953-08-23","1953","08","23"
"1953-09-13","1953","09","13"
"1954-01-17","1954","01","17"
"1954-05-31","1954","05","31"
"1954-06-20","1954","06","20"
"1954-07-04","1954","07","04"
"1954-07-17","1954","07","17"
"1954-08-01","1954","08","01"
"1954-08-22","1954","08","22"
"1954-09-05","1954","09","05"
"1954-10-24","1954","10","24"
"1955-01-16","1955","01","16"
"1955-05-22","1955","05","22"
"1955-05-30","1955","05","30"
"1955-06-05","1955","06","05"
"1955-06-19","1955","06","19"
"1955-07-16","1955","07","16"
"1955-09-11","1955","09","11"
"1956-01-22","1956","01","22"
"1956-05-13","1956","05","13"
"1956-05-30","1956","05","30"
"1956-06-03","1956","06","03"
"1956-07-01","1956","07","01"
"1956-07-14","1956","07","14"
"1956-08-05","1956","08","05"
"1956-09-02","1956","09","02"
"1957-01-13","1957","01","13"
"1957-05-19","1957","05","19"
"1957-05-30","1957","05","30"
"1957-07-07","1957","07","07"
"1957-07-20","1957","07","20"
"1957-08-04","1957","08","04"
"1957-08-18","1957","08","18"
"1957-09-08","1957","09","08"
"1958-01-19","1958","01","19"
"1958-05-18","1958","05","18"
"1958-05-26","1958","05","26"
"1958-05-30","1958","05","30"
"1958-06-15","1958","06","15"
"1958-07-06","1958","07","06"
"1958-07-19","1958","07","19"
"1958-08-03","1958","08","03"
"1958-08-24","1958","08","24"
"1958-09-07","1958","09","07"
"1958-10-19","1958","10","19"
"1959-05-10","1959","05","10"
"1959-05-30","1959","05","30"
"1959-05-31","1959","05","31"
"1959-07-05","1959","07","05"
"1959-07-18","1959","07","18"
"1959-08-02","1959","08","02"
"1959-08-23","1959","08","23"
"1959-09-13","1959","09","13"
"1959-12-12","1959","12","12"
"1960-02-07","1960","02","07"
"1960-05-29","1960","05","29"
"1960-05-30","1960","05","30"
"1960-06-06","1960","06","06"
"1960-06-19","1960","06","19"
"1960-07-03","1960","07","03"
"1960-07-16","1960","07","16"
"1960-08-14","1960","08","14"
"1960-09-04","1960","09","04"
"1960-11-20","1960","11","20"
"1961-05-14","1961","05","14"
"1961-05-22","1961","05","22"
"1961-06-18","1961","06","18"
"1961-07-02","1961","07","02"
"1961-07-15","1961","07","15"
"1961-08-06","1961","08","06"
"1961-09-10","1961","09","10"
"1961-10-08","1961","10","08"
"1962-05-20","1962","05","20"
"1962-06-03","1962","06","03"
"1962-06-17","1962","06","17"
"1962-07-08","1962","07","08"
"1962-07-21","1962","07","21"
"1962-08-05","1962","08","05"
"1962-09-16","1962","09","16"
"1962-10-07","1962","10","07"
"1962-12-29","1962","12","29"
"1963-05-26","1963","05","26"
"1963-06-09","1963","06","09"
"1963-06-23","1963","06","23"
"1963-06-30","1963","06","30"
"1963-07-20","1963","07","20"
"1963-08-04","1963","08","04"
"1963-09-08","1963","09","08"
"1963-10-06","1963","10","06"
"1963-10-27","1963","10","27"
"1963-12-28","1963","12","28"
"1964-05-10","1964","05","10"
"1964-05-24","1964","05","24"
"1964-06-14","1964","06","14"
"1964-06-28","1964","06","28"
"1964-07-11","1964","07","11"
"1964-08-02","1964","08","02"
"1964-08-23","1964","08","23"
"1964-09-06","1964","09","06"
"1964-10-04","1964","10","04"
"1964-10-25","1964","10","25"
"1965-01-01","1965","01","01"
"1965-05-30","1965","05","30"
"1965-06-13","1965","06","13"
