"ID_DATA","DATA_COMPLETA","ANO","MES","DIA"
1,"18396",1950,5,13
2,"18397",1950,5,21
3,"18413",1950,5,30
4,"18418",1950,6,4
5,"18432",1950,6,18
6,"18446",1950,7,2
7,"18509",1950,9,3
8,"18775",1951,5,27
9,"18778",1951,5,30
10,"18796",1951,6,17
11,"18810",1951,7,1
12,"18823",1951,7,14
13,"18838",1951,7,29
14,"18887",1951,9,16
15,"18929",1951,10,28
16,"19132",1952,5,18
17,"19144",1952,5,30
18,"19167",1952,6,22
19,"19181",1952,7,6
20,"19194",1952,7,19
21,"19209",1952,8,3
22,"19223",1952,8,17
23,"19244",1952,9,7
24,"19377",1953,1,18
25,"19509",1953,5,30
26,"19517",1953,6,7
27,"19531",1953,6,21
28,"19545",1953,7,5
29,"19558",1953,7,18
30,"19573",1953,8,2
31,"19594",1953,8,23
32,"19615",1953,9,13
33,"19741",1954,1,17
34,"19875",1954,5,31
35,"19895",1954,6,20
36,"19909",1954,7,4
37,"19922",1954,7,17
38,"19937",1954,8,1
39,"19958",1954,8,22
40,"19972",1954,9,5
41,"20021",1954,10,24
42,"20105",1955,1,16
43,"20231",1955,5,22
44,"20239",1955,5,30
45,"20245",1955,6,5
46,"20259",1955,6,19
47,"20286",1955,7,16
48,"20343",1955,9,11
49,"20476",1956,1,22
50,"20588",1956,5,13
51,"20605",1956,5,30
52,"20609",1956,6,3
53,"20637",1956,7,1
54,"20650",1956,7,14
55,"20672",1956,8,5
56,"20700",1956,9,2
57,"20833",1957,1,13
58,"20959",1957,5,19
59,"20970",1957,5,30
60,"21008",1957,7,7
61,"21021",1957,7,20
62,"21036",1957,8,4
63,"21050",1957,8,18
64,"21071",1957,9,8
65,"21204",1958,1,19
66,"21323",1958,5,18
67,"21331",1958,5,26
68,"21335",1958,5,30
69,"21351",1958,6,15
70,"21372",1958,7,6
71,"21385",1958,7,19
72,"21400",1958,8,3
73,"21421",1958,8,24
74,"21435",1958,9,7
75,"21477",1958,10,19
76,"21680",1959,5,10
77,"21700",1959,5,30
78,"21701",1959,5,31
79,"21736",1959,7,5
80,"21749",1959,7,18
81,"21764",1959,8,2
82,"21785",1959,8,23
83,"21806",1959,9,13
84,"21896",1959,12,12
85,"21953",1960,2,7
86,"22065",1960,5,29
87,"22066",1960,5,30
88,"22073",1960,6,6
89,"22086",1960,6,19
90,"22100",1960,7,3
91,"22113",1960,7,16
92,"22142",1960,8,14
93,"22163",1960,9,4
94,"22240",1960,11,20
95,"22415",1961,5,14
96,"22423",1961,5,22
97,"22450",1961,6,18
98,"22464",1961,7,2
99,"22477",1961,7,15
100,"22499",1961,8,6
101,"22534",1961,9,10
102,"22562",1961,10,8
103,"22786",1962,5,20
104,"22800",1962,6,3
105,"22814",1962,6,17
106,"22835",1962,7,8
107,"22848",1962,7,21
108,"22863",1962,8,5
109,"22905",1962,9,16
110,"22926",1962,10,7
111,"23009",1962,12,29
112,"23157",1963,5,26
113,"23171",1963,6,9
114,"23185",1963,6,23
115,"23192",1963,6,30
116,"23212",1963,7,20
117,"23227",1963,8,4
118,"23262",1963,9,8
119,"23290",1963,10,6
120,"23311",1963,10,27
121,"23373",1963,12,28
122,"23507",1964,5,10
123,"23521",1964,5,24
124,"23542",1964,6,14
125,"23556",1964,6,28
126,"23569",1964,7,11
127,"23591",1964,8,2
128,"23612",1964,8,23
129,"23626",1964,9,6
130,"23654",1964,10,4
131,"23675",1964,10,25
132,"23743",1965,1,1
133,"23892",1965,5,30
134,"23906",1965,6,13
135,"23920",1965,6,27
136,"23933",1965,7,10
137,"23941",1965,7,18
138,"23955",1965,8,1
139,"23997",1965,9,12
140,"24018",1965,10,3
141,"24039",1965,10,24
142,"24249",1966,5,22
143,"24270",1966,6,12
144,"24291",1966,7,3
145,"24304",1966,7,16
146,"24312",1966,7,24
147,"24326",1966,8,7
148,"24354",1966,9,4
149,"24382",1966,10,2
150,"24403",1966,10,23
151,"24474",1967,1,2
152,"24599",1967,5,7
153,"24627",1967,6,4
154,"24641",1967,6,18
155,"24655",1967,7,2
156,"24668",1967,7,15
157,"24690",1967,8,6
158,"24711",1967,8,27
159,"24725",1967,9,10
160,"24746",1967,10,1
161,"24767",1967,10,22
162,"24838",1968,1,1
163,"24970",1968,5,12
164,"24984",1968,5,26
165,"24998",1968,6,9
166,"25012",1968,6,23
167,"25026",1968,7,7
168,"25039",1968,7,20
169,"25054",1968,8,4
170,"25089",1968,9,8
171,"25103",1968,9,22
172,"25117",1968,10,6
173,"25145",1968,11,3
174,"25263",1969,3,1
175,"25327",1969,5,4
176,"25341",1969,5,18
177,"25375",1969,6,21
178,"25390",1969,7,6
179,"25403",1969,7,19
180,"25418",1969,8,3
181,"25453",1969,9,7
182,"25466",1969,9,20
183,"25481",1969,10,5
184,"25495",1969,10,19
185,"25634",1970,3,7
186,"25677",1970,4,19
187,"25698",1970,5,10
188,"25726",1970,6,7
189,"25740",1970,6,21
190,"25754",1970,7,5
191,"25767",1970,7,18
192,"25782",1970,8,2
193,"25796",1970,8,16
194,"25817",1970,9,6
195,"25831",1970,9,20
196,"25845",1970,10,4
197,"25866",1970,10,25
198,"25998",1971,3,6
199,"26041",1971,4,18
200,"26076",1971,5,23
201,"26104",1971,6,20
202,"26118",1971,7,4
203,"26131",1971,7,17
204,"26146",1971,8,1
205,"26160",1971,8,15
206,"26181",1971,9,5
207,"26195",1971,9,19
208,"26209",1971,10,3
