"ID_GRANDE_PREMIO","ANO_TEMPORADA","NM_GRANDE_PREMIO","DT_GRANDE_PREMIO","NM_CIRCUITO","LOCALIDADE_CIRCUITO","PAIS_CIRCUITO"
1,2009,"Australian Grand Prix","2009-03-29","Albert Park Grand Prix Circuit","Melbourne","Australia"
2,2009,"Malaysian Grand Prix","2009-04-05","Sepang International Circuit","Kuala Lumpur","Malaysia"
3,2009,"Chinese Grand Prix","2009-04-19","Shanghai International Circuit","Shanghai","China"
4,2009,"Bahrain Grand Prix","2009-04-26","Bahrain International Circuit","Sakhir","Bahrain"
5,2009,"Spanish Grand Prix","2009-05-10","Circuit de Barcelona-Catalunya","Montmeló","Spain"
6,2009,"Monaco Grand Prix","2009-05-24","Circuit de Monaco","Monte-Carlo","Monaco"
7,2009,"Turkish Grand Prix","2009-06-07","Istanbul Park","Istanbul","Turkey"
8,2009,"British Grand Prix","2009-06-21","Silverstone Circuit","Silverstone","UK"
9,2009,"German Grand Prix","2009-07-12","Nürburgring","Nürburg","Germany"
10,2009,"Hungarian Grand Prix","2009-07-26","Hungaroring","Budapest","Hungary"
11,2009,"European Grand Prix","2009-08-23","Valencia Street Circuit","Valencia","Spain"
12,2009,"Belgian Grand Prix","2009-08-30","Circuit de Spa-Francorchamps","Spa","Belgium"
13,2009,"Italian Grand Prix","2009-09-13","Autodromo Nazionale di Monza","Monza","Italy"
14,2009,"Singapore Grand Prix","2009-09-27","Marina Bay Street Circuit","Marina Bay","Singapore"
15,2009,"Japanese Grand Prix","2009-10-04","Suzuka Circuit","Suzuka","Japan"
16,2009,"Brazilian Grand Prix","2009-10-18","Autódromo José Carlos Pace","São Paulo","Brazil"
17,2009,"Abu Dhabi Grand Prix","2009-11-01","Yas Marina Circuit","Abu Dhabi","UAE"
18,2008,"Australian Grand Prix","2008-03-16","Albert Park Grand Prix Circuit","Melbourne","Australia"
19,2008,"Malaysian Grand Prix","2008-03-23","Sepang International Circuit","Kuala Lumpur","Malaysia"
20,2008,"Bahrain Grand Prix","2008-04-06","Bahrain International Circuit","Sakhir","Bahrain"
21,2008,"Spanish Grand Prix","2008-04-27","Circuit de Barcelona-Catalunya","Montmeló","Spain"
22,2008,"Turkish Grand Prix","2008-05-11","Istanbul Park","Istanbul","Turkey"
23,2008,"Monaco Grand Prix","2008-05-25","Circuit de Monaco","Monte-Carlo","Monaco"
24,2008,"Canadian Grand Prix","2008-06-08","Circuit Gilles Villeneuve","Montreal","Canada"
25,2008,"French Grand Prix","2008-06-22","Circuit de Nevers Magny-Cours","Magny Cours","France"
26,2008,"British Grand Prix","2008-07-06","Silverstone Circuit","Silverstone","UK"
27,2008,"German Grand Prix","2008-07-20","Hockenheimring","Hockenheim","Germany"
28,2008,"Hungarian Grand Prix","2008-08-03","Hungaroring","Budapest","Hungary"
29,2008,"European Grand Prix","2008-08-24","Valencia Street Circuit","Valencia","Spain"
30,2008,"Belgian Grand Prix","2008-09-07","Circuit de Spa-Francorchamps","Spa","Belgium"
31,2008,"Italian Grand Prix","2008-09-14","Autodromo Nazionale di Monza","Monza","Italy"
32,2008,"Singapore Grand Prix","2008-09-28","Marina Bay Street Circuit","Marina Bay","Singapore"
33,2008,"Japanese Grand Prix","2008-10-12","Fuji Speedway","Oyama","Japan"
34,2008,"Chinese Grand Prix","2008-10-19","Shanghai International Circuit","Shanghai","China"
35,2008,"Brazilian Grand Prix","2008-11-02","Autódromo José Carlos Pace","São Paulo","Brazil"
36,2007,"Australian Grand Prix","2007-03-18","Albert Park Grand Prix Circuit","Melbourne","Australia"
37,2007,"Malaysian Grand Prix","2007-04-08","Sepang International Circuit","Kuala Lumpur","Malaysia"
38,2007,"Bahrain Grand Prix","2007-04-15","Bahrain International Circuit","Sakhir","Bahrain"
39,2007,"Spanish Grand Prix","2007-05-13","Circuit de Barcelona-Catalunya","Montmeló","Spain"
40,2007,"Monaco Grand Prix","2007-05-27","Circuit de Monaco","Monte-Carlo","Monaco"
41,2007,"Canadian Grand Prix","2007-06-10","Circuit Gilles Villeneuve","Montreal","Canada"
42,2007,"United States Grand Prix","2007-06-17","Indianapolis Motor Speedway","Indianapolis","USA"
