"ID_PILOTO","NM_PILOTO","NU_PILOTO","NACIONALIDADE"
1,"Lewis","44","British"
2,"Nick","\N","German"
3,"Nico","6","German"
4,"Fernando","14","Spanish"
5,"Heikki","\N","Finnish"
6,"Kazuki","\N","Japanese"
7,"Sébastien","\N","French"
8,"Kimi","7","Finnish"
9,"Robert","88","Polish"
10,"Timo","\N","German"
11,"Takuma","\N","Japanese"
12,"Nelson","\N","Brazilian"
13,"Felipe","19","Brazilian"
14,"David","\N","British"
15,"Jarno","\N","Italian"
16,"Adrian","99","German"
17,"Mark","\N","Australian"
18,"Jenson","22","British"
19,"Anthony","\N","British"
20,"Sebastian","5","German"
21,"Giancarlo","\N","Italian"
22,"Rubens","\N","Brazilian"
23,"Ralf","\N","German"
24,"Vitantonio","\N","Italian"
25,"Alexander","\N","Austrian"
26,"Scott","\N","American"
27,"Christijan","\N","Dutch"
28,"Markus","\N","German"
29,"Sakon","\N","Japanese"
30,"Michael","\N","German"
31,"Juan","\N","Colombian"
32,"Christian","\N","Austrian"
33,"Tiago","\N","Portuguese"
34,"Yuji","\N","Japanese"
35,"Jacques","\N","Canadian"
36,"Franck","\N","French"
37,"Pedro","\N","Spanish"
38,"Robert","\N","Dutch"
39,"Narain","\N","Indian"
40,"Patrick","\N","Austrian"
41,"Ricardo","\N","Brazilian"
42,"Antônio","\N","Brazilian"
43,"Cristiano","\N","Brazilian"
44,"Olivier","\N","French"
45,"Giorgio","\N","Italian"
46,"Gianmaria","\N","Italian"
47,"Zsolt","\N","Hungarian"
48,"Marc","\N","Spanish"
49,"Heinz-Harald","\N","German"
50,"Jos","\N","Dutch"
51,"Justin","\N","British"
52,"Ralph","\N","Irish"
53,"Nicolas","\N","Danish"
54,"Luciano","\N","Brazilian"
55,"Jean","\N","French"
56,"Eddie","\N","British"
57,"Mika","\N","Finnish"
58,"Tarso","\N","Brazilian"
59,"Enrique","\N","Brazilian"
60,"Gastón","\N","Argentine"
61,"Tomáš","\N","Czech"
62,"Alex","\N","Malaysian"
63,"Mika","\N","Finnish"
64,"Pedro","\N","Brazilian"
65,"Johnny","\N","British"
66,"Allan","\N","British"
67,"Sébastien","\N","Swiss"
68,"Toranosuke","\N","Japanese"
69,"Luca","\N","Italian"
70,"Alessandro","\N","Italian"
71,"Damon","\N","British"
72,"Stéphane","\N","French"
73,"Ricardo","\N","Brazilian"
74,"Esteban","\N","Argentine"
75,"Shinji","\N","Japanese"
76,"Jan","\N","Danish"
77,"Gerhard","\N","Austrian"
78,"Nicola","\N","Italian"
79,"Ukyo","\N","Japanese"
80,"Vincenzo","\N","Italian"
81,"Gianni","\N","Italian"
82,"Norberto","\N","Argentine"
83,"Pedro","\N","Portuguese"
84,"Martin","\N","British"
85,"Andrea","\N","Italian"
86,"Giovanni","\N","Italian"
87,"Mark","\N","British"
88,"Aguri","\N","Japanese"
89,"Taki","\N","Japanese"
90,"Roberto","\N","Brazilian"
91,"Karl","\N","Austrian"
92,"Bertrand","\N","Belgian"
93,"Domenico","\N","Italian"
94,"Pierluigi","\N","Italian"
95,"Nigel","\N","British"
96,"Jean-Christophe","\N","French"
97,"Massimiliano","\N","Italian"
98,"Jean-Denis","\N","Swiss"
99,"Gabriele","\N","Italian"
100,"Érik","\N","French"
101,"David","\N","Australian"
102,"Ayrton","\N","Brazilian"
103,"Éric","\N","French"
104,"Christian","\N","Brazilian"
105,"Michele","\N","Italian"
106,"Olivier","\N","Monegasque"
107,"Roland","\N","Austrian"
108,"Paul","\N","French"
109,"Jyrki","\N","Finnish"
110,"Andrea","\N","Italian"
111,"Jean-Marc","\N","French"
112,"Philippe","\N","French"
113,"Philippe","\N","Belgian"
114,"Yannick","\N","French"
115,"Hideki","\N","Japanese"
116,"Franck","\N","French"
117,"Alain","\N","French"
118,"Derek","\N","British"
119,"Riccardo","\N","Italian"
120,"Fabrizio","\N","Italian"
121,"Michael","\N","American"
122,"Ivan","\N","Italian"
123,"Thierry","\N","Belgian"
124,"Marco","\N","Italian"
125,"Emanuele","\N","Italian"
126,"Toshio","\N","Japanese"
127,"Maurício","\N","Brazilian"
128,"Eric","\N","Belgian"
129,"Olivier","\N","French"
130,"Andrea","\N","Swiss"
131,"Stefano","\N","Italian"
132,"Giovanna","\N","Italian"
133,"Alex","\N","Italian"
134,"Enrico","\N","Italian"
135,"Perry","\N","British"
136,"Jan","\N","Dutch"
137,"Nelson","\N","Brazilian"
138,"Satoru","\N","Japanese"
139,"Emanuele","\N","Italian"
140,"Stefan","\N","Swedish"
141,"Julian","\N","British"
142,"Pedro","\N","Portuguese"
143,"Michael","\N","German"
144,"Naoki","\N","Japanese"
145,"Alessandro","\N","Italian"
146,"Bernd","\N","German"
147,"Paolo","\N","Italian"
148,"Gregor","\N","Swiss"
149,"Claudio","\N","Italian"
150,"Gary","\N","Australian"
151,"Martin","\N","British"
152,"Bruno","\N","Italian"
153,"Jaime","\N","Spanish"
154,"Romain","8","French"
155,"Kamui","10","Japanese"
156,"Jonathan","\N","British"
157,"Christian","\N","German"
158,"Eddie","\N","American"
159,"Luis","\N","Spanish"
160,"Piercarlo","\N","Italian"
161,"Volker","\N","German"
162,"Pierre-Henri","\N","French"
163,"René","\N","French"
164,"Joachim","\N","German"
165,"Oscar","\N","Argentine"
166,"Philippe","\N","French"
167,"Adrián","\N","Spanish"
168,"Jean-Louis","\N","French"
169,"Pascal","\N","French"
170,"Teo","\N","Italian"
171,"Franco","\N","Swiss"
172,"Jacques","\N","French"
173,"Elio","\N","Italian"
174,"Johnny","\N","British"
175,"Patrick","\N","French"
176,"Marc","\N","Swiss"
177,"Keke","\N","Finnish"
178,"Alan","\N","Australian"
179,"Huub","\N","Dutch"
180,"Allen","\N","Canadian"
181,"Manfred","\N","German"
182,"Niki","\N","Austrian"
183,"François","\N","French"
184,"Mauro","\N","Italian"
185,"Stefan","\N","German"
186,"Kenny","\N","British"
187,"John","\N","British"
188,"Johnny","\N","Venezuelan"
189,"Jo","\N","Austrian"
190,"Corrado","\N","Italian"
191,"Mike","\N","New Zealander"
192,"Chico","\N","Brazilian"
193,"Danny","\N","American"
194,"Eliseo","\N","Chilean"
195,"Roberto","\N","Colombian"
196,"Raul","\N","Brazilian"
197,"Jean-Pierre","\N","French"
