"SK_CONSTRUTOR","SK_PILOTO","SK_GRANDE_PREMIO","SK_DATA","SK_STATUS","POSICAO_TREINO","POSICAO_GP","PTS_PILOTO"
1,1,18,786,1,1,"1",10
2,2,18,786,1,1,"2",8
3,3,18,786,1,1,"3",6
4,4,18,786,1,1,"4",5
5,5,18,786,1,1,"5",4
6,6,18,786,11,1,"6",3
7,7,18,786,5,1,"7",2
8,8,18,786,5,1,"8",1
9,9,18,786,4,1,"\N",0
10,10,18,786,3,1,"\N",0
11,11,18,786,7,1,"\N",0
6,12,18,786,8,1,"\N",0
2,13,18,786,5,1,"\N",0
1,14,18,786,4,1,"\N",0
7,15,18,786,10,1,"\N",0
9,16,18,786,9,1,"\N",0
4,17,18,786,4,1,"\N",0
11,18,18,786,4,1,"\N",0
10,19,18,786,4,1,"\N",0
3,20,18,786,4,1,"\N",0
8,21,18,786,4,1,"\N",0
5,22,18,786,2,1,"\N",0
1,1,18,786,1,2,"1",10
2,2,18,786,1,2,"2",8
3,3,18,786,1,2,"3",6
4,4,18,786,1,2,"4",5
5,5,18,786,1,2,"5",4
6,6,18,786,11,2,"6",3
7,7,18,786,5,2,"7",2
8,8,18,786,5,2,"8",1
9,9,18,786,4,2,"\N",0
10,10,18,786,3,2,"\N",0
11,11,18,786,7,2,"\N",0
6,12,18,786,8,2,"\N",0
2,13,18,786,5,2,"\N",0
1,14,18,786,4,2,"\N",0
7,15,18,786,10,2,"\N",0
9,16,18,786,9,2,"\N",0
4,17,18,786,4,2,"\N",0
11,18,18,786,4,2,"\N",0
10,19,18,786,4,2,"\N",0
3,20,18,786,4,2,"\N",0
8,21,18,786,4,2,"\N",0
5,22,18,786,2,2,"\N",0
1,1,18,786,1,3,"1",10
2,2,18,786,1,3,"2",8
3,3,18,786,1,3,"3",6
4,4,18,786,1,3,"4",5
5,5,18,786,1,3,"5",4
6,6,18,786,11,3,"6",3
7,7,18,786,5,3,"7",2
8,8,18,786,5,3,"8",1
9,9,18,786,4,3,"\N",0
10,10,18,786,3,3,"\N",0
11,11,18,786,7,3,"\N",0
6,12,18,786,8,3,"\N",0
2,13,18,786,5,3,"\N",0
1,14,18,786,4,3,"\N",0
7,15,18,786,10,3,"\N",0
9,16,18,786,9,3,"\N",0
4,17,18,786,4,3,"\N",0
11,18,18,786,4,3,"\N",0
10,19,18,786,4,3,"\N",0
3,20,18,786,4,3,"\N",0
8,21,18,786,4,3,"\N",0
5,22,18,786,2,3,"\N",0
1,1,18,786,1,4,"1",10
2,2,18,786,1,4,"2",8
3,3,18,786,1,4,"3",6
4,4,18,786,1,4,"4",5
5,5,18,786,1,4,"5",4
6,6,18,786,11,4,"6",3
7,7,18,786,5,4,"7",2
8,8,18,786,5,4,"8",1
9,9,18,786,4,4,"\N",0
10,10,18,786,3,4,"\N",0
11,11,18,786,7,4,"\N",0
6,12,18,786,8,4,"\N",0
2,13,18,786,5,4,"\N",0
1,14,18,786,4,4,"\N",0
7,15,18,786,10,4,"\N",0
9,16,18,786,9,4,"\N",0
4,17,18,786,4,4,"\N",0
11,18,18,786,4,4,"\N",0
10,19,18,786,4,4,"\N",0
3,20,18,786,4,4,"\N",0
8,21,18,786,4,4,"\N",0
5,22,18,786,2,4,"\N",0
1,1,18,786,1,5,"1",10
2,2,18,786,1,5,"2",8
3,3,18,786,1,5,"3",6
4,4,18,786,1,5,"4",5
5,5,18,786,1,5,"5",4
6,6,18,786,11,5,"6",3
7,7,18,786,5,5,"7",2
8,8,18,786,5,5,"8",1
9,9,18,786,4,5,"\N",0
10,10,18,786,3,5,"\N",0
11,11,18,786,7,5,"\N",0
6,12,18,786,8,5,"\N",0
2,13,18,786,5,5,"\N",0
1,14,18,786,4,5,"\N",0
7,15,18,786,10,5,"\N",0
9,16,18,786,9,5,"\N",0
4,17,18,786,4,5,"\N",0
11,18,18,786,4,5,"\N",0
10,19,18,786,4,5,"\N",0
3,20,18,786,4,5,"\N",0
8,21,18,786,4,5,"\N",0
5,22,18,786,2,5,"\N",0
1,1,18,786,1,6,"1",10
2,2,18,786,1,6,"2",8
3,3,18,786,1,6,"3",6
4,4,18,786,1,6,"4",5
5,5,18,786,1,6,"5",4
6,6,18,786,11,6,"6",3
7,7,18,786,5,6,"7",2
8,8,18,786,5,6,"8",1
9,9,18,786,4,6,"\N",0
10,10,18,786,3,6,"\N",0
11,11,18,786,7,6,"\N",0
6,12,18,786,8,6,"\N",0
2,13,18,786,5,6,"\N",0
1,14,18,786,4,6,"\N",0
7,15,18,786,10,6,"\N",0
9,16,18,786,9,6,"\N",0
4,17,18,786,4,6,"\N",0
11,18,18,786,4,6,"\N",0
10,19,18,786,4,6,"\N",0
3,20,18,786,4,6,"\N",0
8,21,18,786,4,6,"\N",0
5,22,18,786,2,6,"\N",0
1,1,18,786,1,7,"1",10
2,2,18,786,1,7,"2",8
3,3,18,786,1,7,"3",6
4,4,18,786,1,7,"4",5
5,5,18,786,1,7,"5",4
