"ID_CLASSIFICACAO_PILOTOS","ID_RESULTADOS","ID_PILOTO","PONTOS_PILOTO","POSICAO_PILOTO","VITORIAS_PILOTO"
1,1,1,10,1,1
2,2,2,8,2,0
3,3,3,6,3,0
4,4,4,5,4,0
5,5,5,4,5,0
6,6,6,3,6,0
7,7,7,2,7,0
8,8,8,1,8,0
9,9,1,14,1,1
10,10,2,11,3,0
11,11,3,6,6,0
12,12,4,6,7,0
13,13,5,10,4,0
14,14,6,3,9,0
15,15,7,2,10,0
16,16,8,11,2,1
17,17,9,8,5,0
18,18,15,5,8,0
19,19,17,2,11,0
20,20,14,0,12,0
21,21,18,0,13,0
22,22,12,0,14,0
23,23,21,0,15,0
24,24,22,0,16,0
25,25,19,0,17,0
26,26,11,0,18,0
27,27,1,14,3,1
28,28,2,16,2,0
29,29,3,7,8,0
30,30,4,6,9,0
31,31,5,14,5,0
32,32,6,3,11,0
33,33,7,2,12,0
34,34,8,19,1,1
35,35,9,14,4,0
36,36,15,8,7,0
37,37,17,4,10,0
38,38,14,0,13,0
39,39,18,0,15,0
40,40,12,0,17,0
41,41,21,0,18,0
42,42,22,0,16,0
43,43,19,0,19,0
44,44,11,0,20,0
45,45,13,10,6,1
46,46,10,0,14,0
47,47,16,0,21,0
48,48,1,20,2,1
49,49,2,16,5,0
50,50,3,7,9,0
51,51,4,6,10,0
52,52,5,14,6,0
53,53,6,5,11,0
54,54,7,2,13,0
55,55,8,29,1,2
56,56,9,19,3,0
57,57,15,9,7,0
58,58,17,8,8,0
59,59,14,0,15,0
60,60,18,3,12,0
61,61,12,0,18,0
62,62,21,0,16,0
63,63,22,0,17,0
64,64,19,0,20,0
65,65,11,0,19,0
66,66,13,18,4,1
67,67,10,0,14,0
68,68,16,0,21,0
69,69,1,28,3,1
70,70,2,20,5,0
71,71,3,8,10,0
72,72,4,9,8,0
73,73,5,14,6,0
74,74,6,5,11,0
75,75,7,2,13,0
76,76,8,35,1,2
77,77,9,24,4,0
78,78,15,9,9,0
79,79,17,10,7,0
80,80,14,0,14,0
81,81,18,3,12,0
82,82,12,0,18,0
83,83,21,0,16,0
84,84,22,0,17,0
85,85,19,0,20,0
86,86,11,0,19,0
87,87,13,28,2,2
88,88,10,0,15,0
89,89,16,0,21,0
90,90,20,0,22,0
91,91,1,38,1,2
92,92,2,20,5,0
93,93,3,8,10,0
94,94,4,9,8,0
95,95,5,15,6,0
96,96,6,7,11,0
97,97,7,2,15,0
98,98,8,35,2,2
99,99,9,32,4,0
100,100,15,9,9,0
101,101,17,15,7,0
102,102,14,0,16,0
103,103,18,3,13,0
104,104,12,0,19,0
105,105,21,0,18,0
106,106,22,3,14,0
107,107,19,0,21,0
108,108,11,0,20,0
109,109,13,34,3,2
110,110,10,0,17,0
111,111,16,0,22,0
112,112,20,4,12,0
113,113,1,38,2,2
114,114,2,28,5,0
115,115,3,8,10,0
116,116,4,9,9,0
117,117,5,15,6,0
118,118,6,7,11,0
119,119,7,2,17,0
120,120,8,35,4,2
121,121,9,42,1,1
122,122,15,12,8,0
123,123,17,15,7,0
124,124,14,6,12,0
125,125,18,3,16,0
126,126,12,0,19,0
127,127,21,0,18,0
128,128,22,5,15,0
129,129,19,0,21,0
130,130,11,0,20,0
131,131,13,38,3,2
132,132,10,5,13,0
133,133,16,0,22,0
134,134,20,5,14,0
135,135,1,38,4,2
136,136,2,28,5,0
137,137,3,8,10,0
138,138,4,10,9,0
139,139,5,20,6,0
140,140,6,7,11,0
141,141,7,2,18,0
142,142,8,43,3,2
143,143,9,46,2,1
144,144,15,18,7,0
145,145,17,18,8,0
146,146,14,6,12,0
147,147,18,3,16,0
148,148,12,2,17,0
149,149,21,0,19,0
150,150,22,5,15,0
151,151,19,0,21,0
152,152,11,0,20,0
153,153,13,48,1,3
154,154,10,5,13,0
155,155,16,0,22,0
156,156,20,5,14,0
157,157,1,48,1,3
158,158,2,36,5,0
159,159,3,8,11,0
160,160,4,13,9,0
161,161,5,24,6,0
162,162,6,8,12,0
163,163,7,2,17,0
164,164,8,48,3,2
165,165,9,46,4,1
166,166,15,20,7,0
167,167,17,18,8,0
168,168,14,6,13,0
169,169,18,3,16,0
170,170,12,2,18,0
171,171,21,0,19,0
172,172,22,11,10,0
173,173,19,0,21,0
174,174,11,0,20,0
175,175,13,48,2,3
176,176,10,5,14,0
177,177,16,0,22,0
178,178,20,5,15,0
179,179,1,58,1,4
180,180,2,41,5,0
181,181,3,8,12,0
182,182,4,13,9,0
183,183,5,28,6,0
184,184,6,8,13,0
185,185,7,2,18,0
186,186,8,51,3,2
187,187,9,48,4,1
188,188,15,20,7,0
189,189,17,18,8,0
190,190,14,6,14,0
191,191,18,3,17,0
192,192,12,10,11,0
193,193,21,0,19,0
194,194,22,11,10,0
195,195,19,0,22,0
196,196,11,0,20,0
197,197,13,54,2,3
198,198,10,5,16,0
199,199,16,0,21,0
200,200,20,6,15,0
201,201,1,62,1,4
202,202,2,41,5,0
203,203,3,8,13,0
204,204,4,18,8,0
205,205,5,38,6,1
206,206,6,8,14,0
207,207,7,2,18,0
208,208,8,57,2,2
209,209,9,49,4,1
210,210,15,22,7,0
211,211,17,18,9,0
212,212,14,6,15,0
213,213,18,3,17,0
214,214,12,13,11,0
215,215,21,0,19,0
216,216,22,11,12,0
217,217,19,0,22,0
218,218,11,0,20,0
219,219,13,54,3,3
220,220,10,13,10,0
221,221,16,0,21,0
222,222,20,6,16,0
223,223,1,70,1,4
224,224,2,41,6,0
225,225,3,9,13,0
226,226,4,18,8,0
227,227,5,43,5,1
228,228,6,8,15,0
229,229,7,2,18,0
230,230,8,57,3,2
231,231,9,55,4,1
232,232,15,26,7,0
233,233,17,18,9,0
234,234,14,6,16,0
235,235,18,3,17,0
236,236,12,13,11,0
237,237,21,0,19,0
238,238,22,11,12,0
239,239,19,0,22,0
240,240,11,0,20,0
241,241,13,64,2,4
242,242,10,15,10,0
243,243,16,0,21,0
244,244,20,9,14,0
245,245,1,76,1,4
246,246,2,49,5,0
247,247,3,9,14,0
248,248,4,23,8,0
249,249,5,43,6,1
250,250,6,8,15,0
251,251,7,4,17,0
252,252,8,57,4,2
253,253,9,58,3,1
254,254,15,26,7,0
255,255,17,19,9,0
256,256,14,6,16,0
257,257,18,3,18,0
258,258,12,13,11,0
259,259,21,0,19,0
260,260,22,11,13,0
261,261,19,0,22,0
262,262,11,0,21,0
263,263,13,74,2,5
264,264,10,15,10,0
265,265,16,0,20,0
266,266,20,13,12,0
267,267,1,78,1,4
268,268,2,53,5,0
269,269,3,9,14,0
270,270,4,28,7,0
271,271,5,51,6,1
272,272,6,8,15,0
273,273,7,4,17,0
274,274,8,57,4,2
275,275,9,64,3,1
276,276,15,26,8,0
277,277,17,20,10,0
278,278,14,6,16,0
279,279,18,3,18,0
280,280,12,13,12,0
281,281,21,0,19,0
282,282,22,11,13,0
283,283,19,0,22,0
284,284,11,0,21,0
285,285,13,77,2,5
286,286,10,15,11,0
287,287,16,0,20,0
288,288,20,23,9,1
289,289,1,84,1,4
290,290,2,56,5,0
291,291,3,17,12,0
292,292,4,38,7,1
293,293,5,51,6,1
294,294,6,9,15,0
295,295,7,4,17,0
296,296,8,57,4,2
297,297,9,64,3,1
298,298,15,26,9,0
299,299,17,20,11,0
300,300,14,8,16,0
301,301,18,3,18,0
302,302,12,13,13,0
303,303,21,0,19,0
304,304,22,11,14,0
305,305,19,0,22,0
306,306,11,0,21,0
307,307,13,77,2,5
308,308,10,20,10,0
309,309,16,0,20,0
310,310,20,27,8,1
311,311,1,84,1,4
312,312,2,56,5,0
313,313,3,17,13,0
314,314,4,48,7,2
315,315,5,51,6,1
316,316,6,9,15,0
317,317,7,4,17,0
318,318,8,63,4,2
319,319,9,72,3,1
320,320,15,30,9,0
321,321,17,21,10,0
322,322,14,8,16,0
323,323,18,3,18,0
324,324,12,18,12,0
325,325,21,0,19,0
326,326,22,11,14,0
327,327,19,0,22,0
328,328,11,0,21,0
329,329,13,79,2,5
330,330,10,20,11,0
331,331,16,0,20,0
332,332,20,30,8,1
3459,333,20,30,8,1
3458,334,16,0,20,0
3457,335,10,22,10,0
3456,336,13,87,2,5
3455,337,11,0,21,0
3454,338,19,0,22,0
3453,339,22,11,14,0
3452,340,21,0,19,0
3451,341,12,19,12,0
3450,342,18,3,18,0
3449,343,14,8,16,0
3448,344,17,21,11,0
3447,345,15,30,9,0
3446,346,9,75,3,1
