"ID_RESULTADOS","ID_GRANDEPREMIO","ID_STATUS","ID_PILOTO","NUMERO","GRID","POSICAO","ORDEM_CLASSIFICACAO","PONTOS","VOLTAS","TEMPO","MILISEGUNDOS","MENOR_TEMPO","RANKING","TEMPO_VOLTA_MAIS_RAPIDA","VELOCIDADE_VOLTA_MAIS_RAPIDA"
1,18,1,1,"22",1,"1",1,10,58,"1:34:50.616","5690616","39","2","1:27.452","218300"
2,18,1,2,"3",5,"2",2,8,58,"+5.478","5696094","41","3","1:27.739","217586"
3,18,1,3,"7",7,"3",3,6,58,"+8.163","5698779","41","5","1:28.090","216719"
4,18,1,4,"5",11,"4",4,5,58,"+17.181","5707797","58","7","1:28.603","215464"
5,18,1,5,"23",3,"5",5,4,58,"+18.014","5708630","43","1","1:27.418","218385"
6,18,11,6,"8",13,"6",6,3,57,"\N","\N","50","14","1:29.639","212974"
7,18,5,7,"14",17,"7",7,2,55,"\N","\N","22","12","1:29.534","213224"
8,18,5,8,"1",15,"8",8,1,53,"\N","\N","20","4","1:27.903","217180"
9,18,4,9,"4",2,"\N",9,0,47,"\N","\N","15","9","1:28.753","215100"
10,18,3,10,"12",18,"\N",10,0,43,"\N","\N","23","13","1:29.558","213166"
11,18,7,11,"18",19,"\N",11,0,32,"\N","\N","24","15","1:30.892","210038"
12,18,8,12,"6",20,"\N",12,0,30,"\N","\N","20","16","1:31.384","208907"
13,18,5,13,"2",4,"\N",13,0,29,"\N","\N","23","6","1:28.175","216510"
14,18,4,14,"9",8,"\N",14,0,25,"\N","\N","21","11","1:29.502","213300"
15,18,10,15,"11",6,"\N",15,0,19,"\N","\N","18","10","1:29.310","213758"
16,18,9,16,"20",22,"\N",16,0,8,"\N","\N","8","17","1:32.021","207461"
17,18,4,17,"10",14,"\N",17,0,0,"\N","\N","\N","\N","\N","\N"
18,18,4,18,"16",12,"\N",18,0,0,"\N","\N","\N","\N","\N","\N"
19,18,4,19,"19",21,"\N",19,0,0,"\N","\N","\N","\N","\N","\N"
20,18,4,20,"15",9,"\N",20,0,0,"\N","\N","\N","\N","\N","\N"
21,18,4,21,"21",16,"\N",21,0,0,"\N","\N","\N","\N","\N","\N"
22,18,2,22,"17",10,"\N",22,0,58,"\N","\N","44","8","1:28.736","215141"
23,19,1,8,"1",2,"1",1,10,56,"1:31:18.555","5478555","37","2","1:35.405","209158"
24,19,1,9,"4",4,"2",2,8,56,"+19.570","5498125","39","6","1:35.921","208033"
