"ID_RESULTADO_CONSTRUTORES","ID_RESULTADOS","ID_CONSTRUTOR","PONTOS_RESULTADO_CONSTRUTOR"
1,1,1,14
2,2,2,8
3,3,3,9
4,4,4,5
5,5,5,2
6,6,6,1
7,7,7,0
8,8,8,0
9,9,9,0
10,10,10,0
11,11,11,0
12,12,6,10
13,13,2,11
14,14,1,10
15,15,7,5
16,16,9,2
17,17,4,1
18,18,11,0
19,19,10,0
20,20,3,0
21,21,8,0
22,22,5,0
23,23,6,18
24,24,2,11
25,25,1,4
26,26,7,3
27,27,9,2
28,28,3,1
29,29,4,0
30,30,11,0
31,31,10,0
32,32,5,0
33,33,8,0
34,34,6,18
35,35,1,6
36,36,2,5
37,37,9,4
38,38,11,3
39,39,3,2
40,40,7,1
41,41,10,0
42,42,8,0
43,43,4,0
44,44,5,0
45,45,6,16
46,46,1,8
47,47,2,9
48,48,4,3
49,49,9,2
50,50,3,1
51,51,7,0
52,52,11,0
53,53,10,0
54,54,5,0
55,55,1,11
56,56,2,8
57,57,6,6
58,58,9,5
59,59,5,4
60,60,11,3
61,61,3,2
62,62,4,0
63,63,7,0
64,64,10,0
65,65,2,18
66,66,9,6
67,67,7,8
68,68,6,4
69,69,11,2
70,70,5,1
71,71,1,0
72,72,3,0
73,73,10,0
74,74,4,0
75,75,6,18
76,76,7,6
77,77,1,5
78,78,2,4
79,79,9,3
80,80,4,3
81,81,5,0
82,82,11,0
83,83,3,0
84,84,10,0
85,85,1,14
86,86,2,8
87,87,11,6
88,88,6,5
89,89,4,3
90,90,7,2
91,91,3,1
92,92,9,0
93,93,5,0
94,94,10,0
95,95,1,14
96,96,4,8
97,97,6,9
98,98,2,7
99,99,5,1
100,100,7,0
101,101,3,0
102,102,9,0
103,103,10,0
104,104,11,0
105,105,1,14
106,106,7,10
107,107,6,6
108,108,4,8
109,109,2,1
110,110,9,0
111,111,11,0
112,112,3,0
113,113,10,0
114,114,5,0
115,115,6,10
116,116,1,13
117,117,2,6
118,118,7,6
119,119,5,3
120,120,3,1
121,121,4,0
122,122,9,0
123,123,11,0
124,124,10,0
125,125,6,10
126,126,2,11
127,127,1,6
128,128,4,5
129,129,5,6
130,130,9,1
131,131,7,0
132,132,3,0
133,133,10,0
134,134,11,0
135,135,5,10
136,136,1,10
137,137,2,10
138,138,4,5
139,139,6,3
140,140,9,1
141,141,7,0
142,142,3,0
143,143,11,0
144,144,10,0
145,145,4,10
146,146,3,9
147,147,1,6
148,148,7,5
149,149,5,4
150,150,2,3
151,151,9,2
152,152,11,0
153,153,6,0
154,154,10,0
155,155,4,15
156,156,2,8
157,157,6,8
158,158,7,4
159,159,5,3
160,160,9,1
161,161,3,0
162,162,1,0
163,163,11,0
164,164,10,0
165,165,1,10
166,166,6,14
167,167,4,6
168,168,2,7
169,169,7,2
170,170,5,0
171,171,9,0
172,172,11,0
173,173,3,0
174,174,10,0
175,175,6,16
176,176,4,8
177,177,5,5
178,178,1,6
179,179,7,4
180,180,9,0
181,181,2,0
182,182,3,0
183,183,11,0
184,184,10,0
185,185,6,13
186,186,1,14
187,187,2,5
188,188,4,4
189,189,3,2
190,190,7,1
191,191,11,0
192,192,8,0
193,193,9,0
194,194,5,0
195,195,12,0
196,196,1,18
197,197,6,10
198,198,2,5
199,199,4,4
200,200,7,2
201,201,3,0
202,202,9,0
203,203,11,0
204,204,8,0
205,205,5,0
206,206,12,0
207,207,6,16
208,208,1,12
209,209,2,8
210,210,7,2
211,211,4,1
212,212,3,0
213,213,11,0
214,214,12,0
215,215,8,0
216,216,9,0
217,217,5,0
218,218,6,10
219,219,1,14
220,220,2,5
221,221,9,4
222,222,3,3
223,223,4,2
224,224,8,1
225,225,11,0
226,226,12,0
227,227,7,0
228,228,5,0
229,229,1,18
230,230,6,7
231,231,4,5
232,232,2,7
233,233,3,2
234,234,5,0
235,235,11,0
236,236,9,0
237,237,7,0
238,238,8,0
239,239,12,0
240,240,1,12
241,241,2,8
242,242,3,6
243,243,4,5
244,244,6,4
245,245,8,3
246,246,7,1
247,247,9,0
248,248,11,0
249,249,5,0
250,250,12,0
251,251,1,18
252,252,6,11
253,253,4,4
254,254,7,3
255,255,9,2
256,256,2,1
257,257,3,0
258,258,8,0
259,259,11,0
260,260,5,0
261,261,12,0
262,262,6,18
263,263,1,8
264,264,2,9
265,265,4,3
266,266,11,1
267,267,3,0
268,268,7,0
269,269,9,0
270,270,8,0
271,271,12,0
272,272,5,0
273,273,6,14
274,274,1,14
275,275,2,8
276,276,4,3
277,277,11,0
278,278,9,0
279,279,3,0
280,280,8,0
281,281,12,0
282,282,5,0
283,283,7,0
284,284,1,10
285,285,6,8
286,286,9,10
287,287,3,5
288,288,2,5
289,289,4,1
290,290,11,0
291,291,8,0
292,292,7,0
293,293,12,0
294,294,5,0
295,295,1,15
296,296,6,8
297,297,2,10
298,298,7,3
299,299,3,2
300,300,4,1
301,301,9,0
302,302,8,0
303,303,5,0
304,304,12,0
305,305,11,0
306,306,6,18
307,307,1,10
308,308,2,6
309,309,4,3
310,310,3,2
311,311,9,0
312,312,7,0
313,313,11,0
314,314,8,0
315,315,5,0
316,316,12,0
317,317,1,18
318,318,6,6
319,319,2,9
320,320,3,3
321,321,4,2
322,322,11,1
323,323,9,0
324,324,7,0
325,325,8,0
326,326,5,0
327,327,12,0
328,328,6,18
329,329,1,11
330,330,2,4
331,331,3,3
332,332,9,2
333,333,4,1
334,334,7,0
335,335,5,0
336,336,11,0
337,337,12,0
338,338,8,0
339,339,1,10
340,340,4,12
341,341,6,9
342,342,9,5
343,343,2,2
344,344,12,1
345,345,5,0
346,346,11,0
347,347,7,0
348,348,8,0
349,349,3,0
350,350,6,16
351,351,1,8
